cycle,phase,mean_latency,p90_latency,worst_latency,mean_reward,density,n,joint_score,accepted_update,wall_time,scheduler_actor_loss,scheduler_entropy,scheduler_regret,scheduler_plan_loss,scheduler_relative_cost,deployment_actor_loss,deployment_bc_loss,deployment_switch_cost,deployment_gain,deployment_target_switch,sched_sample_count,dep_sample_count
0,baseline,223.89070276942482,252.22327350176627,325.97705955323386,-223.89070276942482,0.5114583395421505,200,303.24537412252806,1.0,1776662236.39824,,,,,,,,,,,,
1,,197.02793505566618,230.51786106906383,295.4246055944033,-197.02793505566618,0.4431250005960464,200,269.4286306026523,1.0,1776662239.380489,0.5911374092102051,0.3288486897945404,0.9087796807289124,0.34653162956237793,0.15245892107486725,0.5907009243965149,0.5368107557296753,0.24818098545074463,0.1642962545156479,0.4201388657093048,576,12
2,,155.98371005875768,171.0813272786122,219.49289679783834,-155.9837100587577,0.4850000047683716,200,209.72868671830264,1.0,1776662241.2303936,0.4588184356689453,0.278212308883667,0.8692328333854675,0.23787860572338104,0.13688093423843384,0.38293367624282837,0.31732237339019775,0.278720885515213,0.07299254089593887,0.2881944477558136,576,12
3,,162.32893915222493,180.7570414462285,253.674869760241,-162.32893915222493,0.5175000031292438,200,220.20194300179412,0.0,1776662243.0061233,0.6404278874397278,0.4520137906074524,0.29445764422416687,0.43668973445892334,0.11983814090490341,0.49157288670539856,0.4182889759540558,0.31619831919670105,0.0911717414855957,0.4236110746860504,576,12
4,,161.5072358349612,180.1630395406065,241.11014021803635,-161.5072358349612,0.48937500283122065,200,218.60350273101463,0.0,1776662244.867597,0.5238386988639832,0.37323084473609924,0.2823908030986786,0.36952391266822815,0.11889252066612244,0.5240095257759094,0.44772300124168396,0.3368035554885864,0.11749183386564255,0.4652777910232544,576,12
5,,162.51940002040877,189.20828796915586,239.93973990512598,-162.51940002040877,0.4387500022351742,200,221.81845900795403,0.0,1776662246.7054946,0.504811704158783,0.37710827589035034,0.22313113510608673,0.36593005061149597,0.09725350886583328,0.5226700305938721,0.4455846846103668,0.35770830512046814,0.17251092195510864,0.4305555522441864,576,12
6,,155.73371975894045,166.42883709237978,228.42173255216,-155.73371975894045,0.482916671782732,200,208.7620156596434,1.0,1776662248.4480965,0.5748088955879211,0.42700549960136414,0.29317325353622437,0.43174049258232117,0.11884541064500809,0.47042131423950195,0.3969275951385498,0.3179878890514374,0.09439408779144287,0.40625,576,12
