global_step,epoch,step_in_epoch,loss,recon_loss,target_mean,pred_mean,grad_norm,lr,wall_time,train_mse,train_mae,train_log_mse,train_log_mae,train_ranking_accuracy,train_best_candidate_hit_rate,holdout_mse,holdout_mae,holdout_log_mse,holdout_log_mae,holdout_ranking_accuracy,holdout_best_candidate_hit_rate,train_episode_count,holdout_episode_count
1,0,0,38.160316467285156,38.160316467285156,6.408487796783447,0.24338389933109283,1758.473388671875,0.0005,1776772828.6527183,,,,,,,,,,,,,,
2,0,1,4.9459662437438965,4.9459662437438965,6.438798904418945,4.249261379241943,618.4259033203125,0.0005,1776772828.656718,,,,,,,,,,,,,,
3,0,2,2.3758931159973145,2.3758931159973145,6.419380187988281,7.817948341369629,392.7682800292969,0.0005,1776772828.6587179,,,,,,,,,,,,,,
4,0,3,4.613551139831543,4.613551139831543,6.372247219085693,8.425297737121582,566.2603759765625,0.0005,1776772828.6607177,,,,,,,,,,,,,,
5,0,4,2.839740037918091,2.839740037918091,6.417018890380859,8.008171081542969,437.4792785644531,0.0005,1776772828.6627173,,,,,,,,,,,,,,
6,0,5,0.3675742745399475,0.3675742745399475,6.48297119140625,6.869301795959473,110.12893676757812,0.0005,1776772828.6647236,,,,,,,,,,,,,,
7,0,6,1.7048416137695312,1.7048416137695312,6.473211765289307,5.258297443389893,320.0173645019531,0.0005,1776772828.666719,,,,,,,,,,,,,,
8,0,7,3.8232502937316895,3.8232502937316895,6.390524864196777,4.472667694091797,495.9068603515625,0.0005,1776772828.6697187,,,,,,,,,,,,,,
9,0,8,3.636326313018799,3.636326313018799,6.512456893920898,4.636841773986816,491.3232727050781,0.0005,1776772828.672717,,,,,,,,,,,,,,
10,0,9,1.6134965419769287,1.6134965419769287,6.44804573059082,5.240117073059082,311.5997314453125,0.0005,1776772828.6747172,,,,,,,,,,,,,,
11,0,10,0.2744865417480469,0.2744865417480469,6.476370811462402,6.287786483764648,44.563011169433594,0.0005,1776772828.6768758,,,,,,,,,,,,,,
12,0,11,1.5059247016906738,1.5059247016906738,6.425945281982422,7.540006637573242,302.4446716308594,0.0005,1776772828.678876,,,,,,,,,,,,,,
13,0,12,3.433729410171509,3.433729410171509,6.510343074798584,8.285710334777832,483.3731689453125,0.0005,1776772828.679875,,,,,,,,,,,,,,
14,0,13,4.184300422668457,4.184300422668457,6.446313381195068,8.396788597106934,530.0509643554688,0.0005,1776772828.6818755,,,,,,,,,,,,,,
