global_step,epoch,step_in_epoch,loss,recon_loss,reward_loss,cont_loss,kl,lr,wall_time
1,0,0,1.3901002407073975,1.1174399852752686,1.0906412601470947,0.0,0.0,0.0008,1776743469.178198
2,0,1,0.4250578284263611,0.23365876078605652,0.7655962705612183,0.0,0.0,0.0008,1776743469.1895685
3,0,2,0.7157225012779236,0.6424529552459717,0.29307815432548523,0.0,0.0,0.0008,1776743469.1945677
4,0,3,0.459448903799057,0.2823043763637543,0.7085781097412109,0.0,0.0,0.0008,1776743469.196567
5,0,4,0.3094407320022583,0.048837244510650635,1.0424139499664307,0.0,0.0,0.0008,1776743469.198567
6,0,5,0.35487037897109985,0.12020692974328995,0.938653826713562,0.0,0.0,0.0008,1776743469.2015684
7,0,6,0.28105974197387695,0.1672421097755432,0.45527055859565735,0.0,0.0,0.0008,1776743469.2045686
8,0,7,0.1568349301815033,0.11154476553201675,0.18116068840026855,0.0,0.0,0.0008,1776743469.208358
9,0,8,0.1738520711660385,0.04513285681605339,0.5148768424987793,0.0,0.0,0.0008,1776743469.213351
10,0,9,0.16889061033725739,0.03889008238911629,0.5200021266937256,0.0,0.0,0.0008,1776743469.213351
11,0,10,0.25832903385162354,0.08434085547924042,0.6959527134895325,0.0,0.0,0.0008,1776743469.213351
12,0,11,0.2362402379512787,0.08453507721424103,0.6068206429481506,0.0,0.0,0.0008,1776743469.21836
13,0,12,0.155961811542511,0.049096040427684784,0.4274630844593048,0.0,0.0,0.0008,1776743469.222896
14,0,13,0.09852982312440872,0.036307137459516525,0.2488907426595688,0.0,0.0,0.0008,1776743469.2268958
15,0,14,0.093537837266922,0.04468504339456558,0.19541117548942566,0.0,0.0,0.0008,1776743469.2298956
16,0,15,0.12864603102207184,0.06277613341808319,0.2634795904159546,0.0,0.0,0.0008,1776743469.2338955
17,0,16,0.1601215898990631,0.05116135627031326,0.4358409345149994,0.0,0.0,0.0008,1776743469.2358954
18,0,17,0.13082124292850494,0.02934124693274498,0.40591999888420105,0.0,0.0,0.0008,1776743469.2388942
