global_step,epoch,step_in_epoch,phase,phase_blend_from,phase_blend_to,phase_blend_alpha,actor_loss,critic_loss,imag_return,entropy,plan_loss,wm_plan_loss,real_plan_loss,expected_cost,relative_cost,wm_relative_cost,real_relative_cost,margin_loss,wm_rank_loss,real_rank_loss,planner_entropy,actor_vs_planner_agreement,actor_vs_real_agreement,wm_real_best_agreement,real_teacher_mix,valid_action_count_mean,real_expected_cost,real_best_cost,lr,plan_weight,rank_weight,relative_weight,entropy_coef,wall_time,eval_latency_short,eval_reward_short,anchor_eval_latency,anchor_eval_reward,eval_score,best_eval_latency_so_far,best_eval_score_so_far,score_improved,short_guard_ok,anchor_guard_ok,rollback_triggered,is_best_checkpoint
12,0,11,A,A,A,0.0,0.8557586669921875,0.02308088354766369,-1884.3600749969482,0.6189765334129333,0.7133376598358154,0.7105120420455933,0.7121685743331909,1.8843600749969482,0.056853100657463074,0.030474141240119934,0.09983889013528824,0.23153133690357208,0.1528661698102951,0.3405810296535492,0.660763680934906,0.7265625,0.5625,0.6171875,0.357421875,2.0859375,1.939380407333374,1.8395414352416992,0.00045,1.1,0.25,0.45,0.02,1776781974.1983166,,,,,,,,,,,,
13,0,12,A,A,A,0.0,0.7321643233299255,0.030596183612942696,-1893.5017585754395,0.5189352035522461,0.6133205890655518,0.6099547147750854,0.6127505898475647,1.8935017585754395,0.051803506910800934,0.028440434485673904,0.0944492518901825,0.17831547558307648,0.10446254909038544,0.28778377175331116,0.5610267519950867,0.796875,0.6953125,0.78125,0.33281251788139343,1.9140625,1.9323381185531616,1.8378889560699463,0.00045,1.1,0.25,0.45,0.02,1776781974.2051826,,,,,,,,,,,,
14,0,13,A,A,A,0.0,0.8162369728088379,0.028136901557445526,-1941.9608116149902,0.6222583055496216,0.6874416470527649,0.6890761256217957,0.6804157495498657,1.9419608116149902,0.05867966264486313,0.03861229121685028,0.09806660562753677,0.18436181545257568,0.13996979594230652,0.25493350625038147,0.6490688920021057,0.71875,0.6875,0.6796875,0.3480468988418579,2.078125,1.9873532056808472,1.8892865180969238,0.00045,1.1,0.25,0.45,0.02,1776781974.2208931,,,,,,,,,,,,
15,0,14,A,A,A,0.0,0.8096418380737305,0.02701675519347191,-2270.0581550598145,0.6093120574951172,0.6776825189590454,0.6728177666664124,0.6797869205474854,2.2700581550598145,0.06339569389820099,0.0370367132127285,0.10615561902523041,0.1913970708847046,0.1207791119813919,0.2910146415233612,0.634806215763092,0.6875,0.6328125,0.6796875,0.3480468690395355,2.0546875,2.28545880317688,2.1793031692504883,0.00045,1.1,0.25,0.45,0.02,1776781974.2318811,,,,,,,,,,,,
16,0,15,A,A,A,0.0,0.7461576461791992,0.02172212302684784,-1934.9756240844727,0.5617587566375732,0.6244621276855469,0.621558427810669,0.6245244741439819,1.9349756240844727,0.05230441689491272,0.030406896024942398,0.09232228994369507,0.18778999149799347,0.11037671566009521,0.29936209321022034,0.5866638422012329,0.7578125,0.59375,0.734375,0.33984375,1.9609375,1.9745261669158936,1.8822039365768433,0.00045,1.1,0.25,0.45,0.02,1776781974.2432013,,,,,,,,,,,,
17,0,16,A,A,A,0.0,0.7399468421936035,0.03080323338508606,-2023.3912467956543,0.5899600982666016,0.6243995428085327,0.6229426860809326,0.6240746974945068,2.0233912467956543,0.05768880993127823,0.03434866666793823,0.1008388102054596,0.15578638017177582,0.10205857455730438,0.24315959215164185,0.5999838709831238,0.71875,0.671875,0.75,0.3375000059604645,1.9765625,2.045569896697998,1.9447309970855713,0.00045,1.1,0.25,0.45,0.02,1776781974.2543662,,,,,,,,,,,,
18,0,17,A,A,A,0.0,0.7269423604011536,0.024445604532957077,-2135.383129119873,0.5877697467803955,0.6162041425704956,0.6109579205513,0.6197393536567688,2.135383129119873,0.05728456377983093,0.03462732210755348,0.09442923963069916,0.14038050174713135,0.06503607332706451,0.24444648623466492,0.5950787663459778,0.7734375,0.640625,0.6875,0.34687501192092896,1.984375,2.1862685680389404,2.09183931350708,0.00045,1.1,0.25,0.45,0.02,1776781974.2653413,,,,,,,,,,,,
19,0,18,A,A,A,0.0,0.6971112489700317,0.016145285218954086,-2098.2117652893066,0.5670697689056396,0.5914188027381897,0.5869466066360474,0.5953407287597656,2.0982117652893066,0.048093702644109726,0.029758209362626076,0.07927379012107849,0.1449992060661316,0.0823233425617218,0.2331428974866867,0.5732296109199524,0.765625,0.6796875,0.75,0.33750003576278687,1.9375,2.142810583114624,2.0635366439819336,0.00045,1.1,0.25,0.45,0.02,1776781974.275344,,,,,,,,,,,,
20,0,19,A,A,A,0.0,0.7139043807983398,0.016688354313373566,-1668.571949005127,0.5874295830726624,0.6065137386322021,0.5999761819839478,0.6144740581512451,1.668571949005127,0.050643615424633026,0.032547477632761,0.08198663592338562,0.14279311895370483,0.07872719317674637,0.23553957045078278,0.589870035648346,0.7265625,0.5859375,0.6640625,0.35039061307907104,1.96875,1.7135120630264282,1.6315255165100098,0.00045,1.1,0.25,0.45,0.02,1776781974.2885208,,,,,,,,,,,,
21,0,20,A,A,A,0.0,0.7210687398910522,0.032718509435653687,-2075.1311779022217,0.5939823389053345,0.6068155765533447,0.60660719871521,0.6039912104606628,2.0751311779022217,0.060924552381038666,0.03623040020465851,0.10450025647878647,0.1521405279636383,0.08767423033714294,0.2517583966255188,0.5881243348121643,0.78125,0.671875,0.703125,0.34453123807907104,1.96875,2.072345733642578,1.9678455591201782,0.00045,1.1,0.25,0.45,0.02,1776781974.2993693,,,,,,,,,,,,
