global_step,episode,window_latency_mean,best_candidate_latency,best_candidate_latency_norm,current_latency,current_latency_norm,relative_gain,switch_cost_est,candidate_count,wall_time
10,10,1096.5494056069615,988.6456445350722,6.897346944241622,1070.7249586147923,6.97702474025508,0.07665770132593805,0.03333333507180214,12,1776771591.2802124
20,20,1071.9754027635588,955.6832721434788,6.863472377576182,1086.4534317720309,6.9915939406869265,0.12036425658416199,0.3333333432674408,12,1776771601.7415435
30,30,889.6455482868067,719.2387798626835,6.579582795728315,949.103731261381,6.856571169435158,0.24219160016703506,0.46666666865348816,12,1776771611.7226954
40,40,972.3947143829415,875.7347515686695,6.776204496874371,991.305971731471,6.900031498972702,0.11658481181237948,0.5333333611488342,12,1776771621.6918254
50,50,683.2929172766561,542.6367877141895,6.298281354222271,629.7654991546588,6.446934159798987,0.13835103948600408,0.4833333194255829,12,1776771631.686863
60,60,659.7648204028573,544.1809082202831,6.301117681271383,698.3888405641105,6.550206868774373,0.22080526404068668,0.36666667461395264,12,1776771641.8208425
70,70,689.9767459150572,602.8091206318024,6.403258122544216,628.1113817357619,6.444308318505413,0.04028308010282772,0.03333333507180214,12,1776771651.8760097
80,80,467.1744668486501,399.207558772095,5.991983309457761,488.4958980799792,6.193376082119273,0.18278216799532968,0.4333333373069763,12,1776771660.8746567
90,90,1019.7087885288803,947.5229753774404,6.854906011936144,1062.9824538213797,6.969774178996236,0.10861842359567377,0.03333333507180214,12,1776771671.2614288
100,100,697.0532410804525,661.4980210727776,6.496017570795957,712.4758404982368,6.570148575794537,0.07155024286831989,0.05000000074505806,12,1776771681.3161879
110,110,939.4182715686703,802.1444252884794,6.688534554920705,893.7115235192015,6.796501346228292,0.1024571081618763,0.06666667014360428,11,1776771691.3771317
120,120,564.4285168300898,462.3833895499636,6.138554766621189,488.6633879371239,6.193718191643576,0.05377934798451017,0.01666666753590107,12,1776771701.208587
130,130,709.4787967828682,648.858212442301,6.476754204390695,725.2979937028747,6.5879603902551125,0.105390862685728,0.38333332538604736,12,1776771710.921362
140,140,681.3062801740009,619.0328467514043,6.429772455267116,640.9274152331119,6.464475236913593,0.03416076136132244,0.3333333432674408,12,1776771721.342502
150,150,834.1368165358745,717.3621145906151,6.576973779782563,764.4042062875094,6.640404068518061,0.06154085928616769,0.06666667014360428,12,1776771730.7419894
160,160,670.6473229903128,643.595134266671,6.468622420899033,643.595134266671,6.468622420899033,0.0,0.0,12,1776771740.3938625
170,170,1211.1028313462782,1100.0672556219754,7.004035220798858,1117.1873178965648,7.019464186994125,0.01532425404436469,0.03333333507180214,12,1776771751.3156004
180,180,773.9115852968083,670.0712632061999,6.508875335812564,837.1137927115774,6.7311538820886145,0.1995457857220267,0.5,12,1776771760.3925972
190,190,727.58692665252,632.935277612107,6.4519468634407975,712.9431310557243,6.570803310786145,0.11222192901296606,0.05000000074505806,12,1776771769.869832
200,200,454.4880408401095,422.701586250083,6.04902940143028,458.18463436176046,6.129452382689752,0.07744268456558885,0.38333332538604736,12,1776771779.00846
210,210,980.5677180720442,847.0242250807908,6.742909202696119,1003.556479076444,6.9123014087335415,0.155977523198004,0.4000000059604645,12,1776771788.5028164
220,220,763.117301332686,664.0328983586987,6.499836510648282,679.4470269849701,6.522749974807231,0.022686284602158283,0.05000000074505806,12,1776771798.0640953
230,230,545.098791333536,515.2019981063665,6.246498158075872,542.1709713745158,6.29742413478433,0.04974256220279988,0.6000000238418579,12,1776771807.4340873
240,240,772.7224836790898,621.0408416330488,6.433005752373006,847.4985659769552,6.743468394604444,0.26720720651940805,0.5,12,1776771816.8322442
250,250,507.6059413412984,463.7209167176558,6.141437046305967,497.5898299168034,6.211783773602656,0.0680659273217269,0.03333333507180214,12,1776771826.1364439
260,260,512.5532581431772,449.5662713511963,6.110505172447306,482.9465604565632,6.181974488340919,0.06911797668423225,0.03333333507180214,12,1776771835.9726133
270,270,519.2933675357152,471.56614496740787,6.158177726485214,537.7032884893017,6.289164934158856,0.12299932869614527,0.4333333373069763,12,1776771845.496718
280,280,407.18725956529823,378.1301961954573,5.937879671672705,418.06766638986716,6.038032401847113,0.09552872275266162,0.4166666567325592,12,1776771855.1985083
290,290,979.9141776224628,910.7109433816721,6.815322991789271,973.3558499983773,6.881776585993123,0.06435971655875865,0.4333333373069763,12,1776771864.9707193
300,300,1275.5633565875185,1171.9897733073053,7.067311130207376,1215.0291423040585,7.103346027949514,0.03542249934445002,0.4833333194255829,12,1776771874.865151
310,310,1231.0961416759503,1106.1785708943567,7.009570230353814,1215.4351088851583,7.103679818330746,0.08989088532337675,0.46666666865348816,12,1776771885.5319932
320,320,786.1641916732009,684.3676631796244,6.529955428840542,730.9626044530829,6.595729425843608,0.06374463069601426,0.03333333507180214,12,1776771895.3875315
330,330,770.3808690483452,739.0984822480373,6.606783261462279,780.9760611050197,6.661824127679069,0.05362210308691012,0.06666667014360428,12,1776771904.5180566
340,340,759.5025229265381,684.1494503011725,6.529636990087535,684.1494503011725,6.529636990087535,0.0,0.0,12,1776771914.4911106
350,350,421.3246942213186,390.9752826269416,5.971198783279334,409.443079660218,6.017237258279907,0.045104674985842225,0.4333333373069763,12,1776771924.2258778
360,360,570.7749623016549,502.8812877953689,6.222340700238892,528.2706474541982,6.2714999219213565,0.04806127272295698,0.4166666567325592,12,1776771933.670815
370,370,355.2613896310699,331.48022285108163,5.806580378179772,336.3876922022773,5.821232691089306,0.014588730399341476,0.01666666753590107,12,1776771942.6379185
380,380,710.9616134987855,662.7084048268171,6.497842903664912,710.628865718997,6.567556519498187,0.06743387892594983,0.03333333507180214,12,1776771952.2876484
390,390,965.3492974771685,900.0855646130592,6.803600219373532,906.974506795731,6.811216301990994,0.007595519092383217,0.03333333507180214,12,1776771962.3975391
400,400,695.5421134030506,627.5081793471513,6.443349042022233,653.9227440854997,6.484517280717775,0.04039401439582707,0.05000000074505806,12,1776771972.7485795
410,410,708.1453120972378,652.7855215289454,6.482779348937754,672.1127888547562,6.511912906768954,0.028755988051861667,0.05000000074505806,12,1776771982.9860408
420,420,1016.3419691025201,966.0142560510392,6.8742132378999905,987.758959509783,6.8964505804919165,0.022014179926584092,0.05000000074505806,12,1776771993.0093107
430,430,985.8470597092315,821.8032834688096,6.712717148374643,941.6179952043187,6.848661105336806,0.12724343878911418,0.05000000074505806,12,1776772003.2207835
440,440,652.833022215041,592.6960344508332,6.386367461872199,592.6960344508332,6.386367461872199,0.0,0.0,11,1776772012.926836
450,450,388.59600818196833,355.3960155312078,5.876042515767628,367.0856585393935,5.908315678852808,0.03184445574555511,0.01666666753590107,12,1776772021.9336727
460,460,631.1061788277343,563.5955457983516,6.336109626660305,614.2137452256126,6.4219697606362685,0.08241137522682418,0.4000000059604645,12,1776772031.5695534
470,470,776.9054592942224,705.0286033864015,6.5596557513841605,705.0286033864015,6.5596557513841605,0.0,0.0,12,1776772040.8978992
480,480,651.9029350928712,576.4941523388374,6.358698316524487,689.3390835615514,6.537182902332887,0.16370017878529022,0.05000000074505806,12,1776772049.7780924
